stim_word,stim_color,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,welcome_txt.started,welcome_txt.stopped,instructions_txt.started,instructions_txt.stopped,instructions_resp.keys,instructions_resp.rt,instructions_resp.started,instructions_resp.stopped,polygon.started,polygon.stopped,trial_txt.started,trial_txt.stopped,trial_resp.keys,trial_resp.rt,trial_resp.started,trial_resp.stopped,fix_dot.started,fix_dot.stopped,ty_txt.started,ty_txt.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,7.41157357301563,None,10.42671596200671,None,return,0.5944108170224354,10.42671596200671,None,,,,,,,,,,,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
green,green,0,0,0,6,,,,,,,,,11.043010837049223,None,13.045821669045836,None,right,0.31524783407803625,13.045821669045836,None,13.395319953095168,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
green,red,0,1,1,3,,,,,,,,,,,13.908863138058223,None,left,0.2125459510134533,13.908863138058223,None,14.142877733102068,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
green,green,0,2,2,8,,,,,,,,,,,14.642113967100158,None,left,0.2990713679464534,14.642113967100158,None,14.959476700052619,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
red,red,0,3,3,13,,,,,,,,,,,15.458985105040483,None,left,0.3424042840488255,15.458985105040483,None,15.825971476035193,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
green,green,0,4,4,7,,,,,,,,,,,16.326688624103554,None,left,0.3746300620259717,16.326688624103554,None,16.726233024033718,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
red,red,0,5,5,10,,,,,,,,,,,17.22637588402722,None,left,0.35490412393119186,17.22637588402722,None,17.608918110025115,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
red,red,0,6,6,12,,,,,,,,,,,18.108677130076103,None,left,0.29274674400221556,18.108677130076103,None,18.425678528030403,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
green,red,0,7,7,0,,,,,,,,,,,18.925700582098216,None,left,0.2756720680044964,18.925700582098216,None,19.225683638011105,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
green,green,0,8,8,5,,,,,,,,,,,19.725627380074002,None,left,0.15574368298985064,19.725627380074002,None,19.908988254028372,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
red,red,0,9,9,14,,,,,,,,,,,20.408794821007177,None,left,0.15243163204286247,20.408794821007177,None,20.59233945806045,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
red,green,0,10,10,17,,,,,,,,,,,21.0916912460234,None,left,0.10977574903517962,21.0916912460234,None,21.225760736037046,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
red,green,0,11,11,18,,,,,,,,,,,21.72567841410637,None,left,0.13548784598242491,21.72567841410637,None,21.891675920109265,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
red,red,0,12,12,11,,,,,,,,,,,22.39177454810124,None,left,0.06948531197849661,22.39177454810124,None,22.491605821996927,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
green,red,0,13,13,4,,,,,,,,,,,22.991489928099327,None,left,0.04986730101518333,22.991489928099327,None,23.058380439062603,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
green,red,0,14,14,2,,,,,,,,,,,23.55858218309004,None,left,0.38272069999948144,23.55858218309004,None,23.95833528600633,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
green,red,0,15,15,1,,,,,,,,,,,24.458395733032376,None,right,0.08293656597379595,24.458395733032376,None,24.558563754078932,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
green,green,0,16,16,9,,,,,,,,,,,25.057794423075393,None,left,0.10350336402188987,25.057794423075393,None,25.191741132060997,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
red,green,0,17,17,19,,,,,,,,,,,25.691577051067725,None,left,0.04977020400110632,25.691577051067725,None,25.75858662207611,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
red,green,0,18,18,16,,,,,,,,,,,26.258136264048517,None,left,0.10318087390623987,26.258136264048517,None,26.391740534105338,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
red,green,0,19,19,15,,,,,,,,,,,26.89187719707843,None,left,0.10963801899924874,26.89187719707843,None,27.025140437996015,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
green,red,1,0,20,0,,,,,,,,,,,27.540893494035117,None,left,0.06057996104937047,27.540893494035117,None,27.624392463010736,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
red,green,1,1,21,19,,,,,,,,,,,28.12413163203746,None,right,0.07711838907562196,28.12413163203746,None,28.223860140074976,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
red,red,1,2,22,12,,,,,,,,,,,28.724579513072968,None,left,0.07697523396927863,28.724579513072968,None,28.824716225033626,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
red,green,1,3,23,15,,,,,,,,,,,29.324517689063214,None,right,0.016895672073587775,29.324517689063214,None,29.35809325100854,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
red,green,1,4,24,18,,,,,,,,,,,29.857363856048323,None,left,0.0640273989411071,29.857363856048323,None,29.941455234074965,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
green,red,1,5,25,2,,,,,,,,,,,30.44112104200758,None,right,0.00017930998001247644,30.44112104200758,None,30.45811736700125,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
red,red,1,6,26,13,,,,,,,,,,,30.957718053017743,None,left,0.08373352698981762,30.957718053017743,None,31.0580535690533,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
red,red,1,7,27,11,,,,,,,,,,,31.557941618026234,None,right,0.04359574697446078,31.557941618026234,None,31.62474307208322,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
green,red,1,8,28,4,,,,,,,,,,,32.124555729096755,None,left,0.01688144204672426,32.124555729096755,None,32.157972531043924,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
red,green,1,9,29,16,,,,,,,,,,,32.65696356003173,None,right,0.06451364594977349,32.65696356003173,None,32.74072702007834,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
green,green,1,10,30,9,,,,,,,,,,,33.24038140999619,None,left,0.0009695100598037243,33.24038140999619,None,33.27389573305845,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
green,green,1,11,31,8,,,,,,,,,,,33.773337797028944,None,left,0.5082718930207193,33.773337797028944,None,34.30746171902865,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
red,green,1,12,32,17,,,,,,,,,,,34.80713255703449,None,right,0.1342206549597904,34.80713255703449,None,34.974050048040226,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
red,red,1,13,33,14,,,,,,,,,,,35.47363433800638,None,left,0.1279343490023166,35.47363433800638,None,35.62399271107279,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
green,green,1,14,34,5,,,,,,,,,,,36.12354643503204,None,right,0.037844124948605895,36.12354643503204,None,36.19030408805702,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
green,green,1,15,35,6,,,,,,,,,,,36.690446210093796,None,left,0.05095063801854849,36.690446210093796,None,36.77405230002478,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
green,green,1,16,36,7,,,,,,,,,,,37.27407274011057,None,right,0.0075362889328971505,37.27407274011057,None,37.30746920907404,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
green,red,1,17,37,3,,,,,,,,,,,37.82279632403515,None,left,0.03856305789668113,37.82279632403515,None,37.88956061610952,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
green,red,1,18,38,1,,,,,,,,,,,38.39000677410513,None,right,0.09160967695061117,38.39000677410513,None,38.50678915902972,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
red,red,1,19,39,10,,,,,,,,,,,39.00657294411212,None,left,0.015002200962044299,39.00657294411212,None,39.04021595604718,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
red,red,2,0,40,13,,,,,,,,,,,39.54009030607995,None,right,0.06138833297882229,39.54009030607995,None,39.62348081800155,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
green,red,2,1,41,4,,,,,,,,,,,40.12335355801042,None,left,0.03808914008550346,40.12335355801042,None,40.18947353202384,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
red,red,2,2,42,11,,,,,,,,,,,40.689797212020494,None,left,0.4918767169583589,40.689797212020494,None,41.20698338805232,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
green,green,2,3,43,7,,,,,,,,,,,41.70669714000542,None,right,0.11486016504932195,41.70669714000542,None,41.83960168703925,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
red,red,2,4,44,14,,,,,,,,,,,42.34086565906182,None,left,0.08071255590766668,42.34086565906182,None,42.43963280809112,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
green,green,2,5,45,8,,,,,,,,,,,42.939480561064556,None,right,0.08198920299764723,42.939480561064556,None,43.039449625997804,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
green,red,2,6,46,1,,,,,,,,,,,43.539499940001406,None,left,0.10201688704546541,43.539499940001406,None,43.67294516507536,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
green,green,2,7,47,5,,,,,,,,,,,44.172197157051414,None,right,0.029237851966172457,44.172197157051414,None,44.222214526031166,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
green,red,2,8,48,3,,,,,,,,,,,44.722864040057175,None,left,0.05885935400146991,44.722864040057175,None,44.80623964208644,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
red,green,2,9,49,18,,,,,,,,,,,45.3061597479973,None,right,0.015431392937898636,45.3061597479973,None,45.339737243019044,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
green,red,2,10,50,2,,,,,,,,,,,45.838903337018564,None,left,0.0026648580096662045,45.838903337018564,None,45.872262725024484,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
green,green,2,11,51,6,,,,,,,,,,,46.37290962401312,None,left,0.48876224795822054,46.37290962401312,None,46.88990633410867,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
green,green,2,12,52,9,,,,,,,,,,,47.4055813170271,None,left,0.035934036946855485,47.4055813170271,None,47.47155341308098,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
red,green,2,13,53,15,,,,,,,,,,,47.972000389010645,None,right,0.06961264705751091,47.972000389010645,None,48.07207948109135,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
red,green,2,14,54,17,,,,,,,,,,,48.572175997076556,None,right,0.3894052170217037,48.572175997076556,None,48.98816647706553,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
red,red,2,15,55,10,,,,,,,,,,,49.488699024077505,None,right,0.2729160779854283,49.488699024077505,None,49.788273523095995,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
red,green,2,16,56,19,,,,,,,,,,,50.28893050609622,None,left,0.3126362389884889,50.28893050609622,None,50.621652345056646,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
red,green,2,17,57,16,,,,,,,,,,,51.121997322072275,None,right,0.09965123201254755,51.121997322072275,None,51.23890505509917,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
red,red,2,18,58,12,,,,,,,,,,,51.738964509102516,None,left,0.04283919301815331,51.738964509102516,None,51.805524378083646,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
green,red,2,19,59,0,,,,,,,,,,,52.30510509503074,None,right,0.05663358303718269,52.30510509503074,None,52.38885747210588,None,,,,2020_Dec_02_1140,stroop,2020.2.9,59.953479709847294,
,,,,,,,,,,,,,,,,,,,,,,,,52.88779742503539,None,,,,,,
