stim_word,stim_color,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,welcome_txt.started,welcome_txt.stopped,instructions_txt.started,instructions_txt.stopped,instructions_resp.keys,instructions_resp.rt,instructions_resp.started,instructions_resp.stopped,polygon.started,polygon.stopped,fix_dot.started,fix_dot.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,6.016096965060569,None,9.031757488031872,None,return,0.5090456439647824,9.031757488031872,None,,,,,,2020_Dec_02_1141,stroop,2020.2.9,60.02640452363659,
red,green,0,0,0,17,,,,,,,,,9.56446763209533,None,11.5673127140617,None,,2020_Dec_02_1141,stroop,2020.2.9,60.02640452363659,
red,green,0,1,1,18,,,,,,,,,,,12.08040247601457,None,,2020_Dec_02_1141,stroop,2020.2.9,60.02640452363659,
green,red,0,2,2,0,,,,,,,,,,,12.580917707062326,12.580917707062326,,2020_Dec_02_1141,stroop,2020.2.9,60.02640452363659,
red,red,0,3,3,12,,,,,,,,,,,13.08099274605047,13.08099274605047,,2020_Dec_02_1141,stroop,2020.2.9,60.02640452363659,
red,green,0,4,4,19,,,,,,,,,,,13.580405440996401,13.580405440996401,,2020_Dec_02_1141,stroop,2020.2.9,60.02640452363659,
green,green,0,5,5,8,,,,,,,,,,,14.081144744995981,14.081144744995981,,2020_Dec_02_1141,stroop,2020.2.9,60.02640452363659,
green,green,0,6,6,6,,,,,,,,,,,14.581153343082406,14.581153343082406,,2020_Dec_02_1141,stroop,2020.2.9,60.02640452363659,
green,green,0,7,7,9,,,,,,,,,,,15.081044541089796,15.081044541089796,,2020_Dec_02_1141,stroop,2020.2.9,60.02640452363659,
red,red,0,8,8,14,,,,,,,,,,,15.581054548034444,15.581054548034444,,2020_Dec_02_1141,stroop,2020.2.9,60.02640452363659,
red,green,0,9,9,15,,,,,,,,,,,16.080349689000286,16.080349689000286,,2020_Dec_02_1141,stroop,2020.2.9,60.02640452363659,
red,red,0,10,10,13,,,,,,,,,,,16.58044118899852,16.58044118899852,,2020_Dec_02_1141,stroop,2020.2.9,60.02640452363659,
green,red,0,11,11,4,,,,,,,,,,,17.080377237987705,17.080377237987705,,2020_Dec_02_1141,stroop,2020.2.9,60.02640452363659,
green,red,0,12,12,2,,,,,,,,,,,17.57984674104955,17.57984674104955,,2020_Dec_02_1141,stroop,2020.2.9,60.02640452363659,
red,red,0,13,13,10,,,,,,,,,,,18.08080068405252,18.08080068405252,,2020_Dec_02_1141,stroop,2020.2.9,60.02640452363659,
green,green,0,14,14,5,,,,,,,,,,,18.58056872000452,18.58056872000452,,2020_Dec_02_1141,stroop,2020.2.9,60.02640452363659,
green,green,0,15,15,7,,,,,,,,,,,19.080614759004675,19.080614759004675,,2020_Dec_02_1141,stroop,2020.2.9,60.02640452363659,
red,green,0,16,16,16,,,,,,,,,,,19.580649175099097,19.580649175099097,,2020_Dec_02_1141,stroop,2020.2.9,60.02640452363659,
green,red,0,17,17,1,,,,,,,,,,,20.079876358038746,20.079876358038746,,2020_Dec_02_1141,stroop,2020.2.9,60.02640452363659,
green,red,0,18,18,3,,,,,,,,,,,20.580028308089823,20.580028308089823,,2020_Dec_02_1141,stroop,2020.2.9,60.02640452363659,
red,red,0,19,19,11,,,,,,,,,,,21.080779911018908,21.080779911018908,,2020_Dec_02_1141,stroop,2020.2.9,60.02640452363659,
red,red,1,0,20,13,,,,,,,,,,,21.595889594056644,None,,2020_Dec_02_1141,stroop,2020.2.9,60.02640452363659,
red,red,1,1,21,11,,,,,,,,,,,22.096365984994918,22.096365984994918,,2020_Dec_02_1141,stroop,2020.2.9,60.02640452363659,
red,green,1,2,22,15,,,,,,,,,,,22.596460178028792,22.596460178028792,,2020_Dec_02_1141,stroop,2020.2.9,60.02640452363659,
green,red,1,3,23,1,,,,,,,,,,,23.096490449039266,23.096490449039266,,2020_Dec_02_1141,stroop,2020.2.9,60.02640452363659,
red,green,1,4,24,17,,,,,,,,,,,23.596602375037037,23.596602375037037,,2020_Dec_02_1141,stroop,2020.2.9,60.02640452363659,
green,green,1,5,25,7,,,,,,,,,,,24.095904516987503,24.095904516987503,,2020_Dec_02_1141,stroop,2020.2.9,60.02640452363659,
red,red,1,6,26,12,,,,,,,,,,,24.596653457032517,24.596653457032517,,2020_Dec_02_1141,stroop,2020.2.9,60.02640452363659,
green,green,1,7,27,9,,,,,,,,,,,25.096698492998257,25.096698492998257,,2020_Dec_02_1141,stroop,2020.2.9,60.02640452363659,
green,green,1,8,28,8,,,,,,,,,,,25.59597492904868,25.59597492904868,,2020_Dec_02_1141,stroop,2020.2.9,60.02640452363659,
green,green,1,9,29,6,,,,,,,,,,,26.0967637069989,26.0967637069989,,2020_Dec_02_1141,stroop,2020.2.9,60.02640452363659,
red,red,1,10,30,10,,,,,,,,,,,26.597035328042693,26.597035328042693,,2020_Dec_02_1141,stroop,2020.2.9,60.02640452363659,
green,red,1,11,31,0,,,,,,,,,,,27.1124849190237,None,,2020_Dec_02_1141,stroop,2020.2.9,60.02640452363659,
green,red,1,12,32,2,,,,,,,,,,,27.612909201998264,27.612909201998264,,2020_Dec_02_1141,stroop,2020.2.9,60.02640452363659,
