stim_word,stim_color,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,welcome_txt.started,welcome_txt.stopped,instructions_txt.started,instructions_txt.stopped,instructions_resp.keys,instructions_resp.rt,instructions_resp.started,instructions_resp.stopped,polygon.started,polygon.stopped,rating.response,rating.rt,rating.started,rating.stopped,ty_txt.started,ty_txt.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,6.642502940027043,None,9.651633413042873,None,return,1.5121062949765474,9.651633413042873,None,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,60.026074155524434,
red,green,0,0,0,17,,,,,,,,,11.184762032004073,None,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,60.026074155524434,
green,green,0,1,1,9,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,60.026074155524434,
red,red,0,2,2,12,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,60.026074155524434,
green,red,0,3,3,4,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,60.026074155524434,
red,green,0,4,4,18,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,60.026074155524434,
red,green,0,5,5,16,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,60.026074155524434,
green,red,0,6,6,1,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,60.026074155524434,
green,green,0,7,7,8,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,60.026074155524434,
red,green,0,8,8,19,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,60.026074155524434,
red,green,0,9,9,15,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,60.026074155524434,
green,green,0,10,10,6,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,60.026074155524434,
green,red,0,11,11,2,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,60.026074155524434,
red,red,0,12,12,14,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,60.026074155524434,
green,green,0,13,13,5,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,60.026074155524434,
green,red,0,14,14,0,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,60.026074155524434,
green,green,0,15,15,7,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,60.026074155524434,
red,red,0,16,16,10,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,60.026074155524434,
red,red,0,17,17,11,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,60.026074155524434,
red,red,0,18,18,13,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,60.026074155524434,
green,red,0,19,19,3,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,60.026074155524434,
red,green,1,0,20,18,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,60.026074155524434,
green,green,1,1,21,8,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,60.026074155524434,
red,green,1,2,22,15,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,60.026074155524434,
red,red,1,3,23,10,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,60.026074155524434,
green,green,1,4,24,5,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,60.026074155524434,
