stim_word,stim_color,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,welcome_txt.started,welcome_txt.stopped,instructions_txt.started,instructions_txt.stopped,instructions_resp.keys,instructions_resp.rt,instructions_resp.started,instructions_resp.stopped,polygon.started,polygon.stopped,yes_circle.started,yes_circle.stopped,no_circle.started,no_circle.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse.started,mouse.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,6.5593459570081905,None,9.571858313982375,None,return,1.0637560239993036,9.571858313982375,None,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
red,red,0,0,0,14,,,,,,,,,10.654743790975772,None,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
red,green,0,1,1,17,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
green,green,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
green,green,0,3,3,8,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
green,green,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
red,red,0,5,5,10,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
red,green,0,6,6,15,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
red,red,0,7,7,13,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
red,green,0,8,8,19,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
green,green,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
green,red,0,10,10,4,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
green,red,0,11,11,1,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
green,green,0,12,12,5,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
red,red,0,13,13,12,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
green,red,0,14,14,3,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
red,green,0,15,15,18,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
green,red,0,16,16,2,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
green,red,0,17,17,0,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
red,green,0,18,18,16,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
red,red,0,19,19,11,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
red,red,1,0,20,14,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
green,green,1,1,21,7,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
green,green,1,2,22,8,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
green,red,1,3,23,3,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
red,green,1,4,24,16,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
red,red,1,5,25,11,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
red,green,1,6,26,19,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
red,green,1,7,27,18,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
green,green,1,8,28,5,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
green,red,1,9,29,0,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
green,green,1,10,30,9,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
green,red,1,11,31,1,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
red,red,1,12,32,13,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
red,green,1,13,33,17,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
red,red,1,14,34,12,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
red,red,1,15,35,10,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
green,red,1,16,36,2,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
green,green,1,17,37,6,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
green,red,1,18,38,4,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
red,green,1,19,39,15,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
red,red,2,0,40,12,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
red,red,2,1,41,10,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
red,red,2,2,42,11,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
green,red,2,3,43,4,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
red,green,2,4,44,15,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
red,red,2,5,45,13,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
red,green,2,6,46,17,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
green,red,2,7,47,2,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
green,green,2,8,48,7,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
red,red,2,9,49,14,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
green,red,2,10,50,0,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1202,stroop,2020.2.9,60.01906614130071,
