stim_word,stim_color,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,welcome_txt.started,welcome_txt.stopped,instructions_txt.started,instructions_txt.stopped,instructions_resp.keys,instructions_resp.rt,instructions_resp.started,instructions_resp.stopped,polygon.started,polygon.stopped,yes_circle.started,yes_circle.stopped,no_circle.started,no_circle.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse.started,mouse.stopped,ty_txt.started,ty_txt.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,6.630622675991617,None,9.635054457001388,None,return,1.3391559750307351,9.635054457001388,None,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
green,green,0,0,0,5,,,,,,,,,11.001276317983866,None,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
green,green,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
green,green,0,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
red,red,0,3,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
red,red,0,4,4,12,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
red,green,0,5,5,16,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
green,red,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
red,green,0,7,7,15,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
red,green,0,8,8,17,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
red,red,0,9,9,14,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
green,green,0,10,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
green,red,0,11,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
red,red,0,12,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
red,green,0,13,13,18,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
red,green,0,14,14,19,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
green,green,0,15,15,7,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
green,red,0,16,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
green,red,0,17,17,4,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
red,red,0,18,18,10,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
green,red,0,19,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
red,red,1,0,20,14,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
red,green,1,1,21,17,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
green,green,1,2,22,9,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
green,red,1,3,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
green,green,1,4,24,6,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
red,red,1,5,25,11,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
green,green,1,6,26,7,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
red,red,1,7,27,12,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
green,red,1,8,28,2,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
